,username,tweet,date_posted,expanded_tweet,highway,streets,exits,directions,locs,lanes,relocs,town
0,511nji295,Crash on I-295 southbound South of Exit 29 - US 30 (Haddon Heights) right lane closed 5-10 minute delay use caution https://511nj.org/event/ORI215038801?798 …,2019-11-06 23:56:56+00:00,Crash on Interstate 295 southbound South of Exit 29 - US-30 (Haddon Heights) right lane closed 5-10 minute delay use caution https://511nj.org/event/ORI215038801?798 …,Interstate 295,,Exit 29 - US-30,southbound,,right lane,South of,Haddon Heights
1,511njace,"Construction, bridge painting on Atlantic City Expressway westbound between East of Exit 12 - US 40 - Wrangleboro Rd (Hamilton Twp) and West of Exit 12 - US 40 - Wrangleboro Rd (Hamilton Twp) right lane and shoulder closed u https://511nj.org/event/ORI215038701?384 …",2019-11-06 23:52:57+00:00,"Construction, bridge painting on Atlantic City Expressway westbound between East of Exit 12 - US-40 - Wrangleboro Road (Hamilton Township ) and West of Exit 12 - US-40 - Wrangleboro Road (Hamilton Township ) right lane and shoulder closed u https://511nj.org/event/ORI215038701?384 …",Atlantic City Expressway,,Exit 12 - US-40 - Wrangleboro Road,westbound,,right lane,"between East of, West of",Hamilton Township
2,511njtpk,Roadwork on New Jersey Turnpike inner roadway northbound from Interchange 6 - Pennsylvania Turnpike (Mansfield Twp) ramp closed and detoured until 5:00 A.M. https://511nj.org/event/ORI215038601?718 …,2019-11-06 23:41:56+00:00,Roadwork on New Jersey Turnpike inner roadway northbound from Interchange 6 - Pennsylvania Turnpike (Mansfield Township ) ramp closed and detoured until 5:00 A.M. https://511nj.org/event/ORI215038601?718 …,"New Jersey Turnpike, Interchange 6 - Pennsylvania Turnpike",,,northbound,,,from,Mansfield Township
3,511nji76,Crash on I-76 eastbound at Exit 2 - I-676 (Camden) right shoulder closed use caution https://511nj.org/event/ORI215034001?354 …,2019-11-06 23:41:56+00:00,Crash on Interstate 76 eastbound at Exit 2 - Interstate 676 (Camden) right shoulder closed use caution https://511nj.org/event/ORI215034001?354 …,Interstate 76,,Exit 2 - Interstate 676,eastbound,,right shoulder,,Camden
4,511njtpk,Roadwork on New Jersey Turnpike inner roadway Southbound between North of Interchange 14 - I-78/US 1&9 (Newark) and South of Interchange 6 - Pennsylvania Turnpike (Mansfield Twp) all lanes closed until 5:00 A.M. https://511nj.org/event/ORI215038401?259 …,2019-11-06 23:27:56+00:00,Roadwork on New Jersey Turnpike inner roadway Southbound between North of Interchange 14 - Interstate 78/US-1&9 (Newark) and South of Interchange 6 - Pennsylvania Turnpike (Mansfield Township ) all lanes closed until 5:00 A.M. https://511nj.org/event/ORI215038401?259 …,"New Jersey Turnpike, Interchange 14 - Interstate 78/US-1&9, Interchange 6 - Pennsylvania Turnpike",,,Southbound,,all lanes,"between North of, and South of","Newark, Mansfield Township"
5,511njtpk,Roadwork on New Jersey Turnpike inner roadway Northbound between Inner and Outer Roadway Merge (Mansfield Twp) and North of Interchange 14 - I-78/US 1&9 (Newark) all lanes closed until 5:00 A.M. https://511nj.org/event/ORI215038201?866 …,2019-11-06 23:18:56+00:00,Roadwork on New Jersey Turnpike inner roadway Northbound between Inner and Outer Roadway Merge (Mansfield Township ) and North of Interchange 14 - Interstate 78/US-1&9 (Newark) all lanes closed until 5:00 A.M. https://511nj.org/event/ORI215038201?866 …,"New Jersey Turnpike, Interchange 14 - Interstate 78/US-1&9",,,Northbound,,all lanes,between Inner and Outer Roadway Merge (Mansfield Township ) and North of,Newark
6,511nji76,Crash on I-76 eastbound at Exit 2 - I-676 (Camden) right shoulder closed 5-10 minute delay use caution https://511nj.org/event/ORI215034001?749 …,2019-11-06 23:13:57+00:00,Crash on Interstate 76 eastbound at Exit 2 - Interstate 676 (Camden) right shoulder closed 5-10 minute delay use caution https://511nj.org/event/ORI215034001?749 …,Interstate 76,,Exit 2 - Interstate 676,eastbound,,right shoulder,,Camden
7,511njtpk,Emergency maintenance on New Jersey Turnpike inner roadway southbound ramp to Interchange 10 - NJ 440/I-287 (Edison Twp) exit ramp partially closed. https://511nj.org/event/ORI215035001?152 …,2019-11-06 22:52:56+00:00,Emergency maintenance on New Jersey Turnpike inner roadway southbound ramp to Interchange 10 - NJ 440/Interstate 287 (Edison Township ) exit ramp partially closed. https://511nj.org/event/ORI215035001?152 …,"New Jersey Turnpike, Interchange 10 - NJ 440/Interstate 287",,,southbound,,"ramp, exit ramp",,Edison Township
8,511nji76,Crash on I-76 eastbound at Exit 2 - I-676 (Camden) right shoulder closed 5-10 minute delay use caution https://511nj.org/event/ORI215034001?886 …,2019-11-06 22:41:56+00:00,Crash on Interstate 76 eastbound at Exit 2 - Interstate 676 (Camden) right shoulder closed 5-10 minute delay use caution https://511nj.org/event/ORI215034001?886 …,Interstate 76,,Exit 2 - Interstate 676,eastbound,,right shoulder,,Camden
9,511nji78,Crash on I-78 westbound West of Exit 44 - CR 527/Glenside Ave (Berkeley Heights Twp) left lane closed 10-15 minute delay https://511nj.org/event/ORI215034301?543 …,2019-11-06 22:36:56+00:00,Crash on Interstate 78 westbound West of Exit 44 - Country Route 527/Glenside Ave (Berkeley Heights Township ) left lane closed 10-15 minute delay https://511nj.org/event/ORI215034301?543 …,Interstate 78,,Exit 44 - Country Route 527/Glenside Ave,westbound,,left lane,West of,Berkeley Heights Township
10,511nji78,Crash on I-78 westbound West of Exit 43 - CR 655/Diamond Hill Rd (Berkeley Heights Twp) left lane closed 10-15 minute delay https://511nj.org/event/ORI215034301?488 …,2019-11-06 22:35:57+00:00,Crash on Interstate 78 westbound West of Exit 43 - Country Route 655/Diamond Hill Road (Berkeley Heights Township ) left lane closed 10-15 minute delay https://511nj.org/event/ORI215034301?488 …,Interstate 78,,Exit 43 - Country Route 655/Diamond Hill Road,westbound,,left lane,West of,Berkeley Heights Township
11,511nji78,Crash on I-78 westbound West of Exit 44 - CR 527/Glenside Ave (Berkeley Heights Twp) left lane closed 10-15 minute delay https://511nj.org/event/ORI215034301?608 …,2019-11-06 22:35:56+00:00,Crash on Interstate 78 westbound West of Exit 44 - Country Route 527/Glenside Ave (Berkeley Heights Township ) left lane closed 10-15 minute delay https://511nj.org/event/ORI215034301?608 …,Interstate 78,,Exit 44 - Country Route 527/Glenside Ave,westbound,,left lane,West of,Berkeley Heights Township
12,511nji295,Crash on I-295 northbound South of Exit 28 - NJ 168/Black Horse Pike (Bellmawr) right shoulder closed use caution https://511nj.org/event/ORI215034201?127 …,2019-11-06 22:33:57+00:00,Crash on Interstate 295 northbound South of Exit 28 - NJ 168/Black Horse Pike (Bellmawr) right shoulder closed use caution https://511nj.org/event/ORI215034201?127 …,Interstate 295,,Exit 28 - NJ 168/Black Horse Pike,northbound,,right shoulder,South of,Bellmawr
13,511nji76,Crash on I-76 eastbound at Exit 2 - I-676 (Camden) right lane closed 5-10 minute delay use caution https://511nj.org/event/ORI215034001?855 …,2019-11-06 22:29:57+00:00,Crash on Interstate 76 eastbound at Exit 2 - Interstate 676 (Camden) right lane closed 5-10 minute delay use caution https://511nj.org/event/ORI215034001?855 …,Interstate 76,,Exit 2 - Interstate 676,eastbound,,right lane,,Camden
14,511nj42,Disabled vehicle on NJ 42 southbound at Exit 8 - CR 534/Clementon Blackwood Rd (Gloucester Twp) partial ramp closure 5-10 minute delay use caution https://511nj.org/event/ORI215033501?219 …,2019-11-06 22:14:56+00:00,Disabled vehicle on NJ 42 southbound at Exit 8 - Country Route 534/Clementon Blackwood Road (Gloucester Township ) partial ramp closure 5-10 minute delay use caution https://511nj.org/event/ORI215033501?219 …,NJ 42,,Exit 8 - Country Route 534/Clementon Blackwood Road,southbound,,,,Gloucester Township
15,511nji287,"Emergency construction, emergency repairs on I-287 southbound at New Jersey Turnpike (Edison Twp) right lane of 5 lanes closed for repairs 5 minute delay https://511nj.org/event/ORI215020001?485 …",2019-11-06 22:12:56+00:00,"Emergency construction, emergency repairs on Interstate 287 southbound at New Jersey Turnpike (Edison Township ) right lane of 5 lanes closed for repairs 5 minute delay https://511nj.org/event/ORI215020001?485 …","Interstate 287, New Jersey Turnpike",,,southbound,,right lane,,Edison Township
16,511nji295,Crash with Injuries on I-195 eastbound East of Exit 2 - CR 524 (Hamilton Twp) right lane closed 10-15 minute delay use caution https://511nj.org/event/ORI215032601?496 …,2019-11-06 22:09:57+00:00,Crash with Injuries on Interstate 195 eastbound East of Exit 2 - Country Route 524 (Hamilton Township ) right lane closed 10-15 minute delay use caution https://511nj.org/event/ORI215032601?496 …,Interstate 195,,Exit 2 - Country Route 524,eastbound,,right lane,East of,Hamilton Township
17,511nji195,Crash with Injuries on I-195 eastbound East of Exit 2 - CR 524 (Hamilton Twp) right lane closed 10-15 minute delay use caution https://511nj.org/event/ORI215032601?496 …,2019-11-06 22:09:56+00:00,Crash with Injuries on Interstate 195 eastbound East of Exit 2 - Country Route 524 (Hamilton Township ) right lane closed 10-15 minute delay use caution https://511nj.org/event/ORI215032601?496 …,Interstate 195,,Exit 2 - Country Route 524,eastbound,,right lane,East of,Hamilton Township
18,511nji280,Crash on I-280 eastbound West of Exit 8 - CR 577 (West Orange Twp) left lane closed 10 minute delay https://511nj.org/event/ORI215031201?675 …,2019-11-06 21:37:56+00:00,Crash on Interstate 280 eastbound West of Exit 8 - Country Route 577 (West Orange Township ) left lane closed 10 minute delay https://511nj.org/event/ORI215031201?675 …,Interstate 280,,Exit 8 - Country Route 577,eastbound,,left lane,West of,West Orange Township
19,NJDOT_info,NJDOT Traffic Advisory -- I-287 southbound lane closures before the New Jersey Turnpike for emergency bridge repairs. Read more: http://bit.ly/2qoG5BL,2019-11-06 21:11:22+00:00,NJDOT Traffic Advisory -- Interstate 287 southbound lane closures before the New Jersey Turnpike for emergency bridge repairs. Read more: http://bit.ly/2qoG5BL,"Interstate 287, New Jersey Turnpike for emergency bridge repairs. Read more: http://bit.ly/2qoG5BL",,,southbound,,lane,,
20,511nji295,Crash on NJ 29 northbound at NJ 129 (Hamilton Twp) right shoulder closed 5-10 minute delay use caution https://511nj.org/event/ORI215027301?173 …,2019-11-06 21:09:56+00:00,Crash on NJ 29 northbound at NJ 129 (Hamilton Township ) right shoulder closed 5-10 minute delay use caution https://511nj.org/event/ORI215027301?173 …,"NJ 29, NJ 129",,,northbound,,right shoulder,,Hamilton Township
21,511nji295,Crash on NJ 29 northbound at NJ 129 (Hamilton Twp) right lane closed 5-10 minute delay use caution https://511nj.org/event/ORI215027301?98 …,2019-11-06 21:05:56+00:00,Crash on NJ 29 northbound at NJ 129 (Hamilton Township ) right lane closed 5-10 minute delay use caution https://511nj.org/event/ORI215027301?98 …,"NJ 29, NJ 129",,,northbound,,right lane,,Hamilton Township
22,NJDOT_info,"UPDATE: Rt 35 SOUTHBOUND LANES REOPENED, RIGHT SHOULDER REMAINS CLOSED North of Rt 33 in Neptune due to a crash and downed pole and wires. Use caution, slow down and expect delays.",2019-11-06 20:53:41+00:00,"UPDATE: Route 35 SOUTHBOUND LANES REOPENED, RIGHT SHOULDER REMAINS CLOSED North of Route 33 in Neptune due to a crash and downed pole and wires. Use caution, slow down and expect delays.","Route 35, Route 33",,,SOUTHBOUND,,LANES,,"RIGHT, Neptune"
23,511nji295,Crash on I-295 southbound North of Exit 28 - NJ 168/Black Horse Pike (Haddon Heights) left shoulder closed use caution https://511nj.org/event/ORI215027401?53 …,2019-11-06 20:48:56+00:00,Crash on Interstate 295 southbound North of Exit 28 - NJ 168/Black Horse Pike (Haddon Heights) left shoulder closed use caution https://511nj.org/event/ORI215027401?53 …,Interstate 295,,Exit 28 - NJ 168/Black Horse Pike,southbound,,left shoulder,North of,Haddon Heights
24,511nji295,Crash on NJ 29 northbound at NJ 129 (Hamilton Twp) right lane closed 5-10 minute delay use caution https://511nj.org/event/ORI215027301?461 …,2019-11-06 20:46:56+00:00,Crash on NJ 29 northbound at NJ 129 (Hamilton Township ) right lane closed 5-10 minute delay use caution https://511nj.org/event/ORI215027301?461 …,"NJ 29, NJ 129",,,northbound,,right lane,,Hamilton Township
25,NJTRANSIT,Stewart Mader shares four tips for a better trip during the Alexander Road closure in Princeton. Take the Dinky - it’s the best way to get to Princeton Junction & Back! http://njtransit.com/dinky pic.twitter.com/gZzE6q8rz0,2019-11-06 20:38:25+00:00,Stewart Mader shares four tips for a better trip during the Alexander Road closure in Princeton. Take the Dinky - it’s the best way to get to Princeton Junction & Back! http://njtransit.com/dinky pic.twitter.com/gZzE6q8rz0,,,,,,,,Princeton
26,NJTRANSIT_RVL,NJ TRANSIT rail service is operating on or close to schedule with residual delays to trains already enroute following an earlier Amtrak overhead power issue.,2019-11-06 20:12:41+00:00,NJ TRANSIT rail service is operating on or close to schedule with residual delays to trains already enroute following an earlier Amtrak overhead power issue.,NJ TRANSIT,,,,,,,
27,NJTRANSIT_PVL,NJ TRANSIT rail service is operating on or close to schedule with residual delays to trains already enroute following an earlier Amtrak overhead power issue.,2019-11-06 20:12:40+00:00,NJ TRANSIT rail service is operating on or close to schedule with residual delays to trains already enroute following an earlier Amtrak overhead power issue.,NJ TRANSIT,,,,,,,
28,NJTRANSIT_NEC,NJ TRANSIT rail service is operating on or close to schedule with residual delays to trains already enroute following an earlier Amtrak overhead power issue.,2019-11-06 20:12:40+00:00,NJ TRANSIT rail service is operating on or close to schedule with residual delays to trains already enroute following an earlier Amtrak overhead power issue.,NJ TRANSIT,,,,,,,
29,NJTRANSIT_NJCL,NJ TRANSIT rail service is operating on or close to schedule with residual delays to trains already enroute following an earlier Amtrak overhead power issue.,2019-11-06 20:12:40+00:00,NJ TRANSIT rail service is operating on or close to schedule with residual delays to trains already enroute following an earlier Amtrak overhead power issue.,NJ TRANSIT,,,,,,,
30,NJTRANSIT_ME,NJ TRANSIT rail service is operating on or close to schedule with residual delays to trains already enroute following an earlier Amtrak overhead power issue.,2019-11-06 20:12:40+00:00,NJ TRANSIT rail service is operating on or close to schedule with residual delays to trains already enroute following an earlier Amtrak overhead power issue.,NJ TRANSIT,,,,,,,
