source,twitter_handle
511NJ,511njgsp
511NJ,511njace
511NJ,511njtpk
511NJ,511nj55
511NJ,511nj42
511NJ,511nj24
511NJ,511nji76
511NJ,511nji78
511NJ,511nji80
511NJ,511nji676
511NJ,511nji278
511NJ,511nji280
511NJ,511nji287
511NJ,511nji195
511NJ,511nji295
511NJ,511nj495
511NJ,511njbt
NJDOT,NJDOT_info
NJ Transit,NJTRANSIT
NJ Transit,NJTRANSIT_NEC
NJ Transit,NJTRANSIT_MOBO
NJ Transit,NJTRANSIT_RVL
NJ Transit,NJTRANSIT_HBLR
NJ Transit,NJTRANSIT_NBUS
NJ Transit,NJTRANSIT_NJCL
NJ Transit,NJTRANSIT_MBPJ
NJ Transit,NJTRANSIT_ACRL
NJ Transit,NJTRANSIT_NLR
NJ Transit,NJTRANSIT_SBUS
NJ Transit,NJTRANSIT_ME
NJ Transit,NJTRANSIT_PVL
NJ Transit,NJTRANSIT_RL
511 NJ Partners,NJTurnpike
512 NJ Partners,DRPA_PAandNJ
513 NJ Partners,portauthoem
514 NJ Partners,i78project
515 NJ Partners,ParkwayPolice
516 NJ Partners,demembridge
